"question_no","question_label","data_column_role","vendor_variable","vendor_label"
"P1","응답코드","raw","ANSWERID","응답 ID"
"P2","패널코드","raw","PANELID","응답자 ID"
"P3","성별","raw","SEX","성별"
"P4","나이","raw","AGE","나이"
"P5","세대","raw","GENERATION","세대 구분"
"P6","거주 지역(상세)","raw","AREA","지역"
"P7","거주 지역","raw","AREA_GROUP","지역그룹"
"Q1","사업장 인원","raw","SQ4","현재 근무하고 있는 사업장(오피스)에 근무하는 인원은 몇 명인가요?"
"Q2","사업장 지역","raw","SQ5","귀하께서 근무하시는 기업의 사업장 소재지는 어디인가요?"
"Q3","업종","raw","SQ6","귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?"
"Q4","기업 유형","raw","Q1","귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?"
"Q5","직책","raw","Q2","귀하의 기업 내 직책은 어디에 해당하시나요?"
"Q6","총 경력","raw","Q3","귀하의 직장 생활 총 경력은 어떻게 되시나요?"
"Q7","현 직장 재직 기간","raw","Q4","현재 직장에서의 재직 기간은 어떻게 되시나요?"
"Q8","직무","raw","Q5","현재 귀하께서 담당하고 있는 직무는 무엇인가요?"
"Q9","사무실 출근일수","raw","SQ3","귀하께서 일주일에 평균 며칠 사무실에서 근무하시나요?"
"Q10","업무 특성 (독립/협업)","raw","Q6","귀하의 업무 특성은 어디에 가까운가요?
 





독립 : 내 일은 혼자 하는 업무가 많은 편이다.
협업 : 내 일은 다른 구성원들과의 소통과 협업이 많은 편이다."
"Q11","업무 특성 (정형/창의)","raw","Q7","귀하의 업무 특성은 어디에 가까운가요?
 





정형 : 내 일은 상호 합의된 프로세스와 시스템 안에서 진행하는 것이 중요하다.
창의 : 내 일은 새로운 시도를 통한 창의적인 결과물 도출이 중요하다."
"Q12","리더 유형 (관리/위임) (본인)","raw","Q98","귀하께서는 다음 중 어떤 유형의 리더에 가까운가요?
 





관리형 : 실무진의 업무를 꼼꼼히 관리하는 리더
위임형 : 실무진에게 의사결정 과정을 위임하는 리더"
"Q13","리더 유형 (관리/위임) (직속 리더)","raw","Q99","귀하의 직속 리더는 다음 중 어떤 유형의 리더에 가까운가요?
 





관리형 : 실무진의 업무를 꼼꼼히 관리하는 리더
위임형 : 실무진에게 의사결정 과정을 위임하는 리더"
"Q14","업무 시간의 자율성","raw","Q100","다음 내용에 얼마나 동의하시나요?
 




우리 회사에서는 구성원들이 일을 언제 시작하고 끝낼 지 직접 조절할 수 있다."
"Q15","업무 장소의 자율성","raw","Q101","다음 내용에 얼마나 동의하시나요?
 




우리 회사에서는 구성원들이 일할 장소와 환경을 직접 선택하고 조절할 수 있다."
"Q16","업무 프로세스의 자율성","raw","Q102","다음 내용에 얼마나 동의하시나요?
 




우리 회사에서는 구성원들이 최적의 업무 프로세스/방식을 직접 탐색하고 실무에 적용할 수 있다."
"Q17","협업 대상의 자율성","raw","Q103","다음 내용에 얼마나 동의하시나요?
 




우리 회사에서는 구성원들이 누구와 함께 일할 것인지 직접 제안하거나 조율할 수 있다."
"Q18","목표 설정의 자율성","raw","Q104","다음 내용에 얼마나 동의하시나요?
 




우리 회사에서는 구성원들이 수행할 업무와 달성할 목표를 직접 설정할 수 있다."
"Q19","혼자서 주어진 업무 빠르게 처리하기","raw","Q9","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




혼자서 주어진 업무를 빠르게 처리"
"Q20","혼자서 창의적인 아이디어 구상하기","raw","Q10","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




혼자서 새롭고 창의적인 아이디어 구상**creative thinking"
"Q21","혼자서 복잡한 내용 분석하고 정리하기","raw","Q11","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




혼자서 복잡한 내용을 분석하고 정리**analytical thinking"
"Q22","혼자서 기분 전환/휴식을 위해 리프레시하기","raw","Q12","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




혼자서 기분 전환/휴식을 위한 리프레시"
"Q23","리더에게 업무 보고하기","raw","Q13","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




리더*에게 의사결정을 받기 위한 업무 보고*현재 업무 연관성이 높은 직속 중간관리자 또는 직속 임원"
"Q24","리더와 자유롭게 논의하기","raw","Q14","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




리더*와 새로운 아이디어/해결책을 찾기 위한 자유로운 논의*현재 업무 연관성이 높은 직속 중간관리자 또는 직속 임원"
"Q25","리더와 편안한 스몰 토크 나누기","raw","Q15","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




리더*와 일상적인 이야기를 나누는 편안한 스몰토크*현재 업무 연관성이 높은 직속 중간관리자 또는 직속 임원"
"Q26","리더와 업무 관련 1:1 대화 나누기","raw","Q16","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




리더*와 업무 관련 고민을 나누는 깊이 있는 1:1 대화*현재 업무 연관성이 높은 직속 중간관리자 또는 직속 임원"
"Q27","팀원(들)에게 업무 공유하기","raw","Q17","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원*(들)과 업무 관련 정보/이슈 공유*현재 협업 관계에 있는 구성원"
"Q28","팀원(들)과 자유롭게 논의하기","raw","Q18","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원*(들)과 새로운 아이디어/해결책을 찾기 위한 자유로운 논의*현재 협업 관계에 있는 구성원"
"Q29","팀원(들)과 편안한 스몰 토크 나누기","raw","Q19","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원*(들)과 일상적인 이야기를 나누는 편안한 스몰토크*현재 협업 관계에 있는 구성원"
"Q30","팀원과 업무 관련 1:1 대화 나누기","raw","Q20","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원*(들)과 업무 관련 고민을 나누는 깊이 있는 1:1 대화*현재 협업 관계에 있는 구성원"
"Q31","팀원 외 구성원과 편안한 스몰 토크 나누기","raw","Q21","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원 외 구성원*(들)과 일상적인 이야기를 나누는 편안한 스몰토크*현재 협업 관계가 아닌 구성원 (회사 동기, 친분이 있는 타 팀 동료 등)"
"Q32","팀원 외 구성원과 업무 관련 1:1 대화 나누기","raw","Q22","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원 외 구성원*(들)과 업무 관련 고민을 나누는 깊이 있는 1:1 대화*현재 협업 관계가 아닌 구성원 (회사 동기, 친분이 있는 타 팀 동료 등)"
"Q33","팀원 외 구성원과 만나는 이벤트/행사 참석하기","raw","Q23","귀하께서는 지난 한 달 동안 오피스에서 아래 행동들을 얼마나 자주 하셨나요?
 




팀원 외 구성원*(들)과 만남 및 소통의 기회를 가질 수 있는 사내 이벤트/행사** 참석*현재 협업 관계가 아닌 구성원 (회사 동기, 친분이 있는 타 팀 동료 등)**(예시) 여러 팀/부서가 함께 하는 워크샵/타운홀 미팅 등"
"Q34","주의 (Attentive)","raw","Q25","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




주의 깊은(Attentive)"
"Q35","흥미 (Interested)","raw","Q26","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




흥미로운(Interested)"
"Q36","열정 (Enthusiastic)","raw","Q27","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




열정적인(Enthusiastic)"
"Q37","영감 (Inspired)","raw","Q28","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




영감을 받은(Inspired)"
"Q38","활기 (Active)","raw","Q29","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




활기찬(Active)"
"Q39","괴로움 (Distressed)","raw","Q30","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




괴로운(Distressed)"
"Q40","분노 (Upset)","raw","Q31","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




화가 나는(Upset)"
"Q41","짜증 (Irritable)","raw","Q32","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




짜증 나는(Irritable)"
"Q42","두려움 (Afraid)","raw","Q33","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




두려운(Afraid)"
"Q43","긴장 (Nervous)","raw","Q34","귀하께서는 지난 일주일 동안 일할 때 아래 기분을 얼마나 자주 느끼셨나요?
 




긴장되는(Nervous)"
"Q44","자리를 떠나 일해도 되는 분위기","raw","Q36","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사는 구성원들이 업무 시간에 자리를 떠나 오피스 내의 다른 공간*에서 일해도 눈치 주지 않는다. *내 지정 좌석 외 라운지 및 휴게 공간에서 업무 진행"
