"question_no","category_1","category_2","question_label","question_full","response_options","response_type","value_count","value_code_map","number_unit","other_input_expected","data_column_role","dashboard_value_type","formula"
"Q1","일하는 방식","업무 특성","개인 업무 특성","다음 중 개인의 성격/ 성향이 아닌, 내가 속한 조직에 요구되는 업무특성의 비율(%)을 기입해주세요.","독립|협업","주관식 비율 배분","2","1=독립|2=협업","","N","raw","number",""
"Q1_A1","일하는 방식","업무 특성","개인 업무 특성__독립","다음 중 개인의 성격/ 성향이 아닌, 내가 속한 조직에 요구되는 업무특성의 비율(%)을 기입해주세요.","","주관식 비율 배분","","","","N","expanded","number",""
"Q1_A2","일하는 방식","업무 특성","개인 업무 특성__협업","다음 중 개인의 성격/ 성향이 아닌, 내가 속한 조직에 요구되는 업무특성의 비율(%)을 기입해주세요.","","주관식 비율 배분","","","","N","expanded","number",""
"Q3","일하는 방식","업무 특성","내 자리 업무 행태","내 자리에서 자주 진행하는 구체적인 업무 행태를 순서대로 선택해주세요.","문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|참고 서적이나 서류 검토|샘플이나 실물 검토/목업|업무 관련 통화|1인 컨퍼런스콜 / 화상회의|기타 (구체적으로 명시)","객관식 순위","6","1=문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|2=참고 서적이나 서류 검토|3=샘플이나 실물 검토/목업|4=업무 관련 통화|5=1인 컨퍼런스콜 / 화상회의|6=기타 (구체적으로 명시)","","Y","raw","label",""
"Q3_R1","일하는 방식","업무 특성","내 자리 업무 행태_1순위","내 자리에서 자주 진행하는 구체적인 업무 행태를 순서대로 선택해주세요.","","객관식 순위","6","1=문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|2=참고 서적이나 서류 검토|3=샘플이나 실물 검토/목업|4=업무 관련 통화|5=1인 컨퍼런스콜 / 화상회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q3_R2","일하는 방식","업무 특성","내 자리 업무 행태_2순위","내 자리에서 자주 진행하는 구체적인 업무 행태를 순서대로 선택해주세요.","","객관식 순위","6","1=문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|2=참고 서적이나 서류 검토|3=샘플이나 실물 검토/목업|4=업무 관련 통화|5=1인 컨퍼런스콜 / 화상회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q3_R3","일하는 방식","업무 특성","내 자리 업무 행태_3순위","내 자리에서 자주 진행하는 구체적인 업무 행태를 순서대로 선택해주세요.","","객관식 순위","6","1=문서 또는 그래픽, 프로그래밍 작업 (컴퓨터 기반 업무)|2=참고 서적이나 서류 검토|3=샘플이나 실물 검토/목업|4=업무 관련 통화|5=1인 컨퍼런스콜 / 화상회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q3_TEXT","일하는 방식","업무 특성","내 자리 업무 행태__기타_텍스트","내 자리에서 자주 진행하는 구체적인 업무 행태를 순서대로 선택해주세요.","","객관식 순위","","","","Y","expanded","text",""
"Q4","일하는 방식","업무 특성","생산성이 증대되는 업무 장소","개인업무 시, 업무 효율성과 생산성이 증대된다고 생각하는 방식을 아래 보기에서 선택해주세요.","거의 모든 업무를 내 자리에서 수행한다.|내 자리 또는 사무실 내 1인 업무 공간에서 수행한다.|내 자리 또는 사무실 내 오픈 라운지에서 수행한다.|일정 시간 사무실 외부 공간에서 업무를 수행한다.|기타 (구체적으로 명시)","객관식 단일","5","1=거의 모든 업무를 내 자리에서 수행한다.|2=내 자리 또는 사무실 내 1인 업무 공간에서 수행한다.|3=내 자리 또는 사무실 내 오픈 라운지에서 수행한다.|4=일정 시간 사무실 외부 공간에서 업무를 수행한다.|5=기타 (구체적으로 명시)","","Y","raw","label",""
"Q4_TEXT","일하는 방식","업무 특성","생산성이 증대되는 업무 장소__기타_텍스트","개인업무 시, 업무 효율성과 생산성이 증대된다고 생각하는 방식을 아래 보기에서 선택해주세요.","","객관식 단일","","","","Y","expanded","text",""
"Q5","일하는 방식","커뮤니케이션 특성","커뮤니케이션 행태","다음 중 업무 생산성 향상을 위해 필요하다고 생각하는 커뮤니케이션 방식을 순서대로 선택해주세요.","팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|자유롭게 아이디어를 나누는 브레인스토밍 회의|비정기적으로 의견을 교류하는 캐주얼 회의|지식 공유 목적의 교육 및 세미나|외부 인원(계열사, 협력사 등)과의 업무 협의 회의|기타 (구체적으로 명시)","객관식 순위","6","1=팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|2=자유롭게 아이디어를 나누는 브레인스토밍 회의|3=비정기적으로 의견을 교류하는 캐주얼 회의|4=지식 공유 목적의 교육 및 세미나|5=외부 인원(계열사, 협력사 등)과의 업무 협의 회의|6=기타 (구체적으로 명시)","","Y","raw","label",""
"Q5_R1","일하는 방식","커뮤니케이션 특성","커뮤니케이션 행태_1순위","다음 중 업무 생산성 향상을 위해 필요하다고 생각하는 커뮤니케이션 방식을 순서대로 선택해주세요.","","객관식 순위","6","1=팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|2=자유롭게 아이디어를 나누는 브레인스토밍 회의|3=비정기적으로 의견을 교류하는 캐주얼 회의|4=지식 공유 목적의 교육 및 세미나|5=외부 인원(계열사, 협력사 등)과의 업무 협의 회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q5_R2","일하는 방식","커뮤니케이션 특성","커뮤니케이션 행태_2순위","다음 중 업무 생산성 향상을 위해 필요하다고 생각하는 커뮤니케이션 방식을 순서대로 선택해주세요.","","객관식 순위","6","1=팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|2=자유롭게 아이디어를 나누는 브레인스토밍 회의|3=비정기적으로 의견을 교류하는 캐주얼 회의|4=지식 공유 목적의 교육 및 세미나|5=외부 인원(계열사, 협력사 등)과의 업무 협의 회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q5_R3","일하는 방식","커뮤니케이션 특성","커뮤니케이션 행태_3순위","다음 중 업무 생산성 향상을 위해 필요하다고 생각하는 커뮤니케이션 방식을 순서대로 선택해주세요.","","객관식 순위","6","1=팀원 또는 유관부서와의 정보 공유, 의사결정 등을 위한 정형회의|2=자유롭게 아이디어를 나누는 브레인스토밍 회의|3=비정기적으로 의견을 교류하는 캐주얼 회의|4=지식 공유 목적의 교육 및 세미나|5=외부 인원(계열사, 협력사 등)과의 업무 협의 회의|6=기타 (구체적으로 명시)","","N","expanded","label",""
"Q5_TEXT","일하는 방식","커뮤니케이션 특성","커뮤니케이션 행태__기타_텍스트","다음 중 업무 생산성 향상을 위해 필요하다고 생각하는 커뮤니케이션 방식을 순서대로 선택해주세요.","","객관식 순위","","","","Y","expanded","text",""
"Q6","일하는 방식","커뮤니케이션 특성","회의 횟수","함께 일할 때, 다음 항목들에 대한 평균적인 회의 특성을 선택해주세요. - 1주일 간 회의 횟수","해당사항 없음|1-2회|3-4회|5-6회|7-8회|9회 이상","객관식 단일","6","1=해당사항 없음|2=1-2회|3=3-4회|4=5-6회|5=7-8회|6=9회 이상","","N","raw","label",""
"Q7","일하는 방식","커뮤니케이션 특성","회의 시간","함께 일할 때, 다음 항목들에 대한 평균적인 회의 특성을 선택해주세요. - 1회 기준 소요시간","해당사항 없음|30분 미만|30분~1시간|1시간~1시간 30분|1시간 30분~2시간|2시간 이상","객관식 단일","6","1=해당사항 없음|2=30분 미만|3=30분~1시간|4=1시간~1시간 30분|5=1시간 30분~2시간|6=2시간 이상","","N","raw","label",""
"Q8","일하는 방식","커뮤니케이션 특성","회의 규모","함께 일할 때, 주로 진행되는 회의 규모를 빈도가 높은 순서대로 선택해주세요.","4인 이하|5-8인|9-16인|17인 이상","객관식 순위","4","1=4인 이하|2=5-8인|3=9-16인|4=17인 이상","","N","raw","label",""
"Q8_R1","일하는 방식","커뮤니케이션 특성","회의 규모_1순위","함께 일할 때, 주로 진행되는 회의 규모를 빈도가 높은 순서대로 선택해주세요.","","객관식 순위","4","1=4인 이하|2=5-8인|3=9-16인|4=17인 이상","","N","expanded","label",""
"Q8_R2","일하는 방식","커뮤니케이션 특성","회의 규모_2순위","함께 일할 때, 주로 진행되는 회의 규모를 빈도가 높은 순서대로 선택해주세요.","","객관식 순위","4","1=4인 이하|2=5-8인|3=9-16인|4=17인 이상","","N","expanded","label",""
"Q8_R3","일하는 방식","커뮤니케이션 특성","회의 규모_3순위","함께 일할 때, 주로 진행되는 회의 규모를 빈도가 높은 순서대로 선택해주세요.","","객관식 순위","4","1=4인 이하|2=5-8인|3=9-16인|4=17인 이상","","N","expanded","label",""
"Q9","일하는 방식","커뮤니케이션 특성","협업 대상","다음 중 사내에서 우리 팀을 제외하고 협업을 가장 많이 하는 팀(부서)를 선택해주세요.*협업 대상이 없을 경우 [해당사항 없음]을 선택해주세요.","기획조정실 - 기획예산팀|기획조정실 - 경영전략팀|기획조정실 - 홍보팀|경영지원실 - 총무팀|경영지원실 - 인사팀|경영지원실 - 사옥관리팀|금융사업실 - 금융사업팀|금융사업실 - 대체투자팀|금융사업실 - 회계팀|영업지원실 - 영업업무팀|영업지원실 - 공제사업팀|영업지원실 - 신용심사팀|채권관리실 - 채권관리팀|채권관리실 - 법무팀|정보화지원센터|감사실|해당사항 없음","객관식 순위","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","raw","label",""
